001  00389 |Loss: 1.626 | Acc: 40.067% 
001  00390 |Loss: 1.626 | Acc: 40.064% 
001  00391 |Loss: 1.625 | Acc: 40.076% 
002  00392 |Loss: 1.296 | Acc: 52.344% 
002  00393 |Loss: 1.376 | Acc: 49.609% 
002  00394 |Loss: 1.402 | Acc: 47.656% 
002  00395 |Loss: 1.401 | Acc: 46.875% 
002  00396 |Loss: 1.369 | Acc: 48.906% 
002  00397 |Loss: 1.377 | Acc: 48.828% 
002  00398 |Loss: 1.357 | Acc: 49.330% 
002  00399 |Loss: 1.369 | Acc: 48.926% 
002  00400 |Loss: 1.370 | Acc: 48.958% 
002  00401 |Loss: 1.380 | Acc: 48.750% 
002  00402 |Loss: 1.370 | Acc: 49.290% 
002  00403 |Loss: 1.368 | Acc: 49.414% 
002  00404 |Loss: 1.365 | Acc: 49.519% 
002  00405 |Loss: 1.358 | Acc: 49.665% 
002  00406 |Loss: 1.363 | Acc: 49.740% 
002  00407 |Loss: 1.370 | Acc: 49.463% 
002  00408 |Loss: 1.372 | Acc: 49.219% 
002  00409 |Loss: 1.371 | Acc: 49.175% 
002  00410 |Loss: 1.374 | Acc: 49.095% 
002  00411 |Loss: 1.367 | Acc: 49.570% 
002  00412 |Loss: 1.367 | Acc: 49.702% 
002  00413 |Loss: 1.366 | Acc: 49.858% 
002  00414 |Loss: 1.362 | Acc: 50.034% 
002  00415 |Loss: 1.364 | Acc: 49.805% 
002  00416 |Loss: 1.367 | Acc: 49.781% 
002  00417 |Loss: 1.368 | Acc: 49.910% 
002  00418 |Loss: 1.365 | Acc: 49.855% 
002  00419 |Loss: 1.366 | Acc: 49.777% 
002  00420 |Loss: 1.362 | Acc: 50.054% 
002  00421 |Loss: 1.362 | Acc: 50.026% 
002  00422 |Loss: 1.357 | Acc: 50.176% 
002  00423 |Loss: 1.355 | Acc: 50.464% 
002  00424 |Loss: 1.353 | Acc: 50.497% 
002  00425 |Loss: 1.349 | Acc: 50.758% 
002  00426 |Loss: 1.350 | Acc: 50.915% 
002  00427 |Loss: 1.347 | Acc: 50.955% 
002  00428 |Loss: 1.346 | Acc: 51.098% 
002  00429 |Loss: 1.346 | Acc: 51.131% 
002  00430 |Loss: 1.345 | Acc: 51.162% 
002  00431 |Loss: 1.347 | Acc: 51.094% 
002  00432 |Loss: 1.345 | Acc: 51.277% 
002  00433 |Loss: 1.344 | Acc: 51.265% 
002  00434 |Loss: 1.341 | Acc: 51.363% 
002  00435 |Loss: 1.340 | Acc: 51.367% 
002  00436 |Loss: 1.341 | Acc: 51.163% 
002  00437 |Loss: 1.340 | Acc: 51.257% 
002  00438 |Loss: 1.340 | Acc: 51.147% 
002  00439 |Loss: 1.339 | Acc: 51.139% 
002  00440 |Loss: 1.338 | Acc: 51.260% 
002  00441 |Loss: 1.334 | Acc: 51.422% 
002  00442 |Loss: 1.330 | Acc: 51.578% 
002  00443 |Loss: 1.328 | Acc: 51.593% 
002  00444 |Loss: 1.327 | Acc: 51.813% 
002  00445 |Loss: 1.327 | Acc: 51.808% 
002  00446 |Loss: 1.327 | Acc: 51.776% 
002  00447 |Loss: 1.330 | Acc: 51.632% 
002  00448 |Loss: 1.330 | Acc: 51.741% 
002  00449 |Loss: 1.330 | Acc: 51.805% 
002  00450 |Loss: 1.328 | Acc: 51.880% 
002  00451 |Loss: 1.326 | Acc: 51.914% 
002  00452 |Loss: 1.326 | Acc: 51.895% 
002  00453 |Loss: 1.327 | Acc: 51.865% 
002  00454 |Loss: 1.327 | Acc: 51.922% 
002  00455 |Loss: 1.325 | Acc: 52.026% 
002  00456 |Loss: 1.324 | Acc: 51.995% 
002  00457 |Loss: 1.324 | Acc: 52.000% 
002  00458 |Loss: 1.327 | Acc: 51.901% 
002  00459 |Loss: 1.327 | Acc: 52.022% 
002  00460 |Loss: 1.329 | Acc: 51.913% 
002  00461 |Loss: 1.328 | Acc: 52.020% 
002  00462 |Loss: 1.326 | Acc: 52.058% 
002  00463 |Loss: 1.326 | Acc: 52.094% 
002  00464 |Loss: 1.324 | Acc: 52.119% 
002  00465 |Loss: 1.323 | Acc: 52.228% 
002  00466 |Loss: 1.324 | Acc: 52.250% 
002  00467 |Loss: 1.326 | Acc: 52.128% 
